date,total_employees
2023-02-28,109
2023-01-31,109
2022-12-31,122
2022-11-30,122
2022-10-31,121
2022-09-30,124
2022-08-31,122
2022-07-31,120
2022-06-30,120
2022-05-31,116
2022-04-30,111
2022-03-31,105
2022-02-28,97
2022-01-31,95
2021-12-31,93
2021-11-30,92
2021-10-31,89
2021-09-30,85
2021-08-31,85
2021-07-31,84
2021-06-30,84
2021-05-31,79
2021-04-30,72
2021-03-31,74
2021-02-28,68
2021-01-31,66
2020-12-31,55
2020-11-30,52
2020-10-31,51
2020-09-30,50
2020-08-31,47
2020-07-31,50
2020-06-30,47
2020-05-31,44
2020-04-30,44
2020-03-31,46
